,Issue#,Title,Owner,Description,Labels,Reviewers,Assignees,Opened time,Closed time,Changed Files,Commits,Events,Participants,Number of Comments,Merged
1349,1710,new Gpu reduce based on the version in Theano that is much faster.,nouiz,,,,,2014-01-25 02:27:15,2014-01-30 19:11:32,doc/extending/ctype.txt theano/sandbox/gpuarray/tests/test_basic_ops.py theano/sandbox/cuda/conv.cu theano/sandbox/gpuarray/opt.py theano/tensor/tests/test_elemwise.py theano/sandbox/cuda/conv_kernel.cu theano/tensor/type.py theano/tensor/basic.py theano/tensor/nnet/nnet.py theano/sandbox/gpuarray/type.py theano/sandbox/cuda/blas.py theano/compile/__init__.py theano/sandbox/gpuarray/elemwise.py theano/sandbox/gpuarray/tests/test_elemwise.py theano/compile/ops.py theano/sandbox/gpuarray/tests/test_opt.py theano/sandbox/gpuarray/basic_ops.py,b67bb9e0e4e814d758ceb2d673d0911c77e19bfd de7752053042e445443fc4409208daeabbd84176 111400e4400d1e106ba56cf9a694cfa480127f66 a482cc6fc4edc730a0bd0cf1afa07d8df5640563 c0cca58a2eafe936350b52ea4fd3c929922ce109 452b6e2be5d5b5470d1c1a96c72c80cd11db1d66 1121fe45db7598438e5cab69772fa584f72ec6f1 d76b96844d1efa88eac790719b8efbb9cb7b4def 7b1d7d2f75da043e086d0636f54dc0f5cd84d687 30d2c4c36f56c974c75729db2eb08ea2f9a79002 2f252daa6b0c41e2e1d1271131e477ac1242ab68 c908977cb3e51e7c5dd0fb219392aa66e30fd1c8 6f1c4d22ec458a3dd5637cfac265beb64826a6dd 047c89131480a2a3945934bc141f2d11b75d6bc7 e37e6f9d7753c8f716cf058f0680ef0056455348 1390deb469c7096cdc5b536e025b564a254227e7 b68d4a879bf598d7dce62f167fa11341961390bb a2afb9dd7d31612a4d8361a9552f8e1fa3039e1d c4ea67617bcb40da5f3ed0da7947c44201c88fdf 85faa716e6263ebb9af1d0be242c2df28b332941 d7a67b73cc84de8d9e917a15dc341ec99cb10cb2 907a465f59e56f10d914d34ecdec98f9ca094537 b467c97fdd668ee079acd4ce75a06dff44e08f17 571f336871bb3e5963abe9507bd6da053279d56f a8c03627df20bedabc39a5df3c61d9cf0ed901a8,"abergeron referenced 2014-01-30 19:11:32,abergeron merged 2014-01-30 19:11:32,abergeron closed 2014-01-30 19:11:32,nouiz head_ref_deleted 2014-01-30 21:23:02",abergeron odelalleau nouiz,4,True
1350,1712,Add C code to NoneTypeT and fix MaxAndArgmax c_code to work with it.,nouiz,"I didn't run all tests, it is highly possible that other Op.c_code will fail with this as they wheren't used with that new input type.

NEWS.txt:
- Add c code to NoneTypeT (Frederic B., reported by Marc-Alexandre Côté)
",,,,2014-01-27 02:28:57,2014-01-27 21:07:20,theano/tensor/basic.py theano/tensor/type_other.py,6545c206e81d3f23b4a991cb06793ce8f98ab71f 2278e82d902581384ae7c2ef6957190a81129bd4,"abergeron referenced 2014-01-27 21:07:20,abergeron merged 2014-01-27 21:07:20,abergeron closed 2014-01-27 21:07:20,nouiz head_ref_deleted 2014-01-28 15:47:12",abergeron nouiz,0,True
1351,1713,Uniformize the typedef name of Scalar's dtype.,MarcCote,"Related to this discussion: https://groups.google.com/forum/#!topic/theano-dev/7tUwqrVauFk
",,,,2014-01-27 17:46:45,2014-01-27 18:49:00,theano/scalar/basic.py,c8c0bbc57b78a66ae7a1256a8b854323e9e411cc,"nouiz referenced 2014-01-27 18:49:00,nouiz merged 2014-01-27 18:49:00,nouiz closed 2014-01-27 18:49:00,MarcCote head_ref_deleted 2014-01-28 21:59:34",nouiz MarcCote,1,True
1352,1714,Hide symbols in compiled modules,abergeron,"This should help platforms which have a slow dynamic linker by reducing the number of symbols to search through when linking.
",,,,2014-01-29 16:48:19,2014-02-03 15:06:31,theano/gof/cc.py theano/gof/cutils.py theano/tensor/blas_headers.py theano/gof/lazylinker_c.c,4fde748a38dcece578998b3d92d1430a1003cee4 ba179eea653f8738429c2ee6041b5369aa4b4087 3279427b3f4482329b1e635bbeaa627e57dbc94d 89fc075a37903d7fda95ec296845646fa6290238 34737cd204b24694f610a230bd07e0bba8e8add1 e55f47ac264eb41949f3d21fa7d1fe067dc4c873,"nouiz referenced 2014-02-03 15:06:31,nouiz merged 2014-02-03 15:06:31,nouiz closed 2014-02-03 15:06:31,abergeron head_ref_deleted 2014-03-19 16:10:19",abergeron nouiz,3,True
1353,1715,Minor fixes,odelalleau,"Typo hunting!
",,,,2014-01-30 02:32:14,2014-02-03 15:05:53,doc/library/tensor/basic.txt theano/tensor/nnet/conv3d2d.py theano/tensor/opt.py theano/sandbox/gpuarray/conv.py doc/tutorial/extending_theano.txt theano/compile/builders.py theano/sandbox/gpuarray/conv.cu theano/sandbox/gpuarray/conv_kernel.cu doc/extending/other_ops.txt doc/library/compile/opfromgraph.txt,835c39f4a6044a94659037baad53ee77b5524029 4b9e31ff2011695d7e7f230ad3563e09e7f0c8a6 45d355150db8e8b43652d1b454be1d07a8d16dba ef7290364ccc50cc57d4084d5cacbe65036bbd0c 16c3ff2f3ac2d9c44859bab568dd307430cb2c62 bd24526ff0698e89d3c0cb9d59a5f4faa944fd82 adb59d47313df011134916876b9cbaaad05c38bb,"nouiz referenced 2014-02-03 15:05:53,nouiz merged 2014-02-03 15:05:53,nouiz closed 2014-02-03 15:05:53",odelalleau nouiz,3,True
1354,1716,"When an apply node execution raise an error, print the inputs values whe...",nouiz,"...n they are scalar.
",,,,2014-01-30 15:07:57,2014-01-31 15:30:53,theano/gof/link.py,51f6b75a28d913aff3523e1c4f2d0aba811940cf 57fed42613663eadf41373a78e8a1f72f70107fb,"abergeron referenced 2014-01-31 15:30:53,abergeron merged 2014-01-31 15:30:53,abergeron closed 2014-01-31 15:30:53,nouiz head_ref_deleted 2014-01-31 19:12:34",abergeron nouiz,1,True
1355,1717,Faster opt,nouiz,"This PR speed up Theano optimization.
",,,,2014-01-30 21:40:40,2014-01-31 19:15:58,theano/scalar/basic.py theano/scan_module/scan_utils.py theano/tensor/type.py theano/tensor/basic.py theano/tensor/tests/test_opt.py theano/tensor/opt.py theano/tensor/subtensor.py theano/compile/profiling.py theano/tensor/elemwise.py doc/install_ubuntu.txt theano/sandbox/gpuarray/elemwise.py theano/sparse/tests/test_basic.py theano/gof/opt.py theano/tensor/nnet/tests/test_sigm.py,1cf4a13c6b72f792fe93134d2633ddf726e1928b b3084a31bb4ee9bc873b7dc0b9133c0de5b773ed a7dec266e18fb8067e8a18b81dac57e20685d01e ea3dcffc0bba9892b65c1e0509589e4f2aef433b ddfb387c32854100a39621590e43244cc61601e4 cc47a946c1573538c976c418e873ba6babdb4b60 1f79dbf1e68babf3213976b69a274f3a580b5232 6fd91c68f8ecd4add6ed51a07b6474ec75c0cc3e dce1d28987bef1cc1ad315b0439d6748e333cd26 e67bed64b0c8554e87ae9d4ce0d8b312318f39ca e8aff9822308823854e9f7343ff00c20cc9706d0 9ec4573717a96e4ba92b90beb80ee7a581e988d8 9fa8a6ffebf90e2c49a74f6bb983e3d8b9a2ba1c 801dcefbe974f06b9d9a19bef4d0fe609fd82511 dc91b8f568cf1b6d3814e5d844180fe7570ef810 8b62a1a2a77a8b362e8a70570070335d4702455b 2b7b03053a36a780fe15cc2c53b77832add4a3bd a4b14d668ebb21f6360ef463aabe6a3e9ae21246,"abergeron referenced 2014-01-31 19:15:58,abergeron merged 2014-01-31 19:15:58,abergeron closed 2014-01-31 19:15:58,nouiz head_ref_deleted 2014-01-31 19:24:54",abergeron nouiz,5,True
1356,1718,Fix crash during unpickling of Theano variable,nouiz,"Fix unpickle of Theano variable and add a Theano flag unpickle_variable to allow reloding old pickled file that contain Theano file that don't unpickle. (Frederic B., reported by Sebastian)
",,,,2014-02-01 01:01:34,2014-02-03 17:07:33,theano/gof/graph.py theano/configdefaults.py theano/compile/function_module.py theano/gof/tests/test_graph.py,ada05f522a7df555b1584b6600a1fb8c7489ded4 51807e8cdf8c2fb850f6a39d11cbfc73e98f4de3,"abergeron referenced 2014-02-03 17:07:33,abergeron merged 2014-02-03 17:07:33,abergeron closed 2014-02-03 17:07:33,nouiz head_ref_deleted 2014-02-03 18:14:41",abergeron nouiz,1,True
1357,1719,Fix Gpu crash on windows,nouiz,"Fix compilation crash of GPU code on windows as they don'T support C99 (Frederic B., reported by Hussam Ashab)
",,,,2014-02-01 01:44:35,2014-02-03 18:34:23,theano/tensor/subtensor.py theano/compile/profiling.py,c044b7f605e10c47f4dc11d6c494bad7888235af 9927b3431e03beda728a130a7cbec769675e7ab6 047017d6659c6419d6e3276127e9f636c56cecd7,"abergeron referenced 2014-02-03 18:34:23,abergeron merged 2014-02-03 18:34:23,abergeron closed 2014-02-03 18:34:23,nouiz head_ref_deleted 2014-02-03 18:46:42",abergeron nouiz,3,True
1358,1720,Assertion failure when there are multiple versions of Enthought Canopy,hencrice,"...nopy installed. For example, on my system, I get p2 like this:

['canopy-1.3.0.1715.rh5-x86_64', 'canopy-1.2.0.1610.rh5-x86_64', 'updates']

The for loop on Ln 239 will only remove the 'updates' in p2, which leads to the failure in the assert statement on Ln 242.
",,,,2014-02-01 18:13:29,2014-02-21 18:46:43,theano/tensor/blas.py,4d45aec7a347425c3b3415376619e97a64f73fba b30d941d272327ae333e4f7ef3a3f43a978f76a0,nouiz closed 2014-02-21 18:46:43,hencrice nouiz,2,False
1359,1721,Python3 compatibility in test program compilation,jlowin,"Similar fix to #1660.

Without this fix, a `'str' does not support the buffer interface` error is raised in Python 3.3 on Mac OSX 10.9. One place it occurs is during testing for the Mac OS sdot bug (line 73, blas_headers.py)

NEWS:
- Crash fix for python3 on Mac. (Jeremiah Lowin)
",,,,2014-02-02 05:40:32,2014-02-03 14:27:59,theano/gof/cmodule.py,0e3cdab21f71b5f7c9c4914b8145be9950f4b7e8,"nouiz referenced 2014-02-03 14:27:59,nouiz merged 2014-02-03 14:27:59,nouiz closed 2014-02-03 14:28:00",jlowin nouiz,1,True
1360,1722,Added numpy wrapper for poisson distribution,bouthilx,,,,,2014-02-03 21:22:24,2014-02-05 21:30:29,theano/tensor/tests/test_raw_random.py theano/tensor/raw_random.py theano/tensor/tests/test_shared_randomstreams.py doc/library/tensor/raw_random.txt,a8178d6293227090ff89f1458d59c55ad3fb678f 57fd59cbc80a7e9b9378c4b85a67e8945c3ea7f2 9dd29ac9c1f5dab1dad3e5cfde04f6128ea5327f,"nouiz referenced 2014-02-05 21:30:29,nouiz merged 2014-02-05 21:30:29,nouiz closed 2014-02-05 21:30:29",bouthilx nouiz,6,True
1361,1723,Tag slow tests,abergeron,"This makes a full run with a fresh cache go from 1600s to 970s.

With an emtpy cache it goes from 4000s to 2400s.

Also fixes really weird whitespace in the middle of some function calls in the tests.
",,,,2014-02-04 15:57:23,2014-02-13 20:38:09,theano/tensor/nnet/tests/test_conv3d.py theano/tensor/tests/test_naacl09.py theano/tensor/tests/test_elemwise.py theano/gof/tests/test_cc.py theano/tensor/tests/test_opt.py theano/tensor/nnet/tests/test_conv.py theano/compile/profiling.py theano/sandbox/test_rng_mrg.py theano/scan_module/tests/test_scan.py theano/tensor/tests/test_subtensor.py theano/sparse/sandbox/test_sp.py theano/sparse/tests/test_basic.py theano/tensor/tests/test_basic.py theano/tensor/tests/test_blas.py theano/sandbox/linalg/tests/test_linalg.py theano/tensor/tests/test_keepdims.py theano/tensor/tests/test_extra_ops.py,151ec94b0d796dac067c2bb184a0e3d9d45d8941 ec2f55b846a4ef93d71a4aefa134456bf6abefae 5b84f246b2b21fcbe886c2a2371d02ba2b15b578 2d3f367cc36c47bee1279a1dcf3e9d587c49e9cf 10efa2bf9d716ab8202b42e7f04459741fe9a254 b725ce725322f382df1dfbd81c4f157061d5a5ea,"nouiz referenced 2014-02-13 20:38:09,nouiz merged 2014-02-13 20:38:09,nouiz closed 2014-02-13 20:38:09,abergeron head_ref_deleted 2014-03-19 16:10:13",abergeron nouiz,5,True
1362,1725,Doc,nouiz,,,,,2014-02-07 14:38:14,2014-02-07 22:47:37,doc/install.txt doc/library/gof/utils.txt doc/library/gof/index.txt theano/gof/utils.py,27c87ae8d0eebf5db9e06119b527ae480fe7aca5 bb78cd98b801e35ddd2d9527fcc7c999b2a0103c 5d808022b21791ef0ef45a33264ea3deb596fabd 1903b3ce35f9dcfe5af1ceb0e6222ae4caa0989a a1934031bbbe2d323a4a02fd963297e573aa2dc7 4e1f1be70c644158d8b48633efa0ab17744ffdff,"abergeron referenced 2014-02-07 22:47:37,abergeron merged 2014-02-07 22:47:37,abergeron closed 2014-02-07 22:47:37,nouiz head_ref_deleted 2014-02-08 01:53:50",abergeron nouiz,0,True
1363,1726,Conversion of GpuSoftmax and GpuSoftmaxWithBias to the new backend,carriepl,"Current version supports only float32
",,,,2014-02-10 15:31:38,2014-02-14 16:39:36,theano/sandbox/gpuarray/nnet.py theano/sandbox/gpuarray/opt.py theano/sandbox/gpuarray/tests/test_nnet.py theano/sandbox/gpuarray/kernel_codegen.py,c732ec385b4e1d5a472805be4354f1bdc2ab1317 e3c3d33cbafa8a8ff03c672352a61b1a80e99794 1c0aff189274dc552463bd9912455d1b2e2e29da eaab9d97176c5ae830611fa073962d21171d51bd 116f1fa6c43a1d93c52df2a31afd80fb2b4b2cc0 25823ba242fce2c77b459041887c6533813cc2b1 cc8b517b99aeb0c24dc1259a82278f05b52eed7e a8c084879876f04e60795401c0b05c54a2d7802b cc2cdc3f428b1af5d6092dd2d8db322ae380a9c8 ae8ce3c6724ff0f87852f67f162ab424292cd45f 6ef5d2645059471b9972a5596f69cd561e0cf499 d5701e07651858160b4b8a52daf1a5c40e9b7355 a123a224d96f2fbf8ce2c0dfa13074164fe02d20 d58444e1b2c9c5077e050f05a19fe0da987f5563 b47b95c3871ea1ec6929e20eaa3403d21550b5d1,"abergeron referenced 2014-02-14 16:39:36,abergeron merged 2014-02-14 16:39:36,abergeron closed 2014-02-14 16:39:36",abergeron carriepl,1,True
1364,1727,Fix Sparse grad crash and implement mixed dtype in sparse Mul/Add,nouiz,"NEWS.txt:
- Fix Sparse grad crash for AddSD (add of a sparse and dense matrix, Frédéric B., reported by Denis Krompass and Alessandro Sordoni)
- sparse mul and add now support mixed inputs dtype in sparse Mul/Add
",,,,2014-02-10 16:46:43,2014-02-10 20:16:39,theano/sparse/opt.py theano/sparse/basic.py theano/sparse/tests/test_basic.py doc/images/theano_logo_allblue_63x21.png,ae3988620d9d6b830db73de4cbb6db448f3b13bf ced9427687d1d3e4a89c3036406d8ed17ac94a22 c4475173e1f2fe099bb4e046e6734a169efe4cab d951ae3ad6755fb0061dbc38dde125f73bdd6cc5 6c460c3957fff51ae67617dffbb12311d2ad0d72,"abergeron referenced 2014-02-10 20:16:39,abergeron merged 2014-02-10 20:16:39,abergeron closed 2014-02-10 20:16:39,nouiz head_ref_deleted 2014-02-10 20:22:42",abergeron nouiz,0,True
1365,1729,Lift subtensor constant indexes as constants in the graph rather than keep them op-internal.,abergeron,"This is to get feedback on the approach taken to fix this problem.
",,,,2014-02-11 19:14:22,2014-02-25 16:26:15,theano/tensor/basic.py theano/tensor/opt.py theano/tensor/subtensor.py theano/tensor/nnet/nnet.py theano/tensor/var.py,9ca3be9ca5431a55d3def209315b17645b32d324 28be70e674c119bd979da8cfe1e0694326b6781a 8685e8cb6d653ebc2fb864a9e2034130c65379da 591fd120d2d94d67fbd5aad54cac242f5f5122e1 518b6f432b0a81e5dab096f9cf6e574e69faca59 c49564d2e3787025932435e8de37802cb23c3dbd 30c6b4bdf0011dac9c42647f0624ee5d9b5a06a4 b4f8b4e0e5fc49469665a0a561ce74d3b83da182 8b7ae921063e57bf40d6aa22e9f7bea56f9c84a2,"goodfeli mentioned 2014-02-20 14:17:00,goodfeli subscribed 2014-02-20 14:17:00,nouiz referenced 2014-02-25 16:26:15,nouiz merged 2014-02-25 16:26:15,nouiz closed 2014-02-25 16:26:15,abergeron head_ref_deleted 2014-03-19 16:10:15",goodfeli abergeron nouiz,31,True
1366,1732,Don't try to use the c_code for GpuElemwise on opencl since it's cuda-only.,abergeron,,,,,2014-02-13 17:28:31,2014-02-13 17:53:16,theano/sandbox/gpuarray/elemwise.py,d9362fd0100f73395aac7237b1704fbd056889c3,"nouiz referenced 2014-02-13 17:53:16,nouiz merged 2014-02-13 17:53:16,nouiz closed 2014-02-13 17:53:16,abergeron head_ref_deleted 2014-02-13 18:54:16",abergeron nouiz,0,True
1367,1733,Fix unpickling of Elemwise op since openmp changes.,nouiz,"crash fix introduced in the dev version. No news.
",,,,2014-02-13 21:20:59,2014-02-13 22:20:34,theano/gof/op.py theano/tensor/elemwise.py theano/tensor/nnet/conv.py,14b10a62faeba27823cc1226d65b8d132665a4cb,"abergeron referenced 2014-02-13 22:20:34,abergeron merged 2014-02-13 22:20:34,abergeron closed 2014-02-13 22:20:34,nouiz head_ref_deleted 2014-02-17 13:35:15",abergeron nouiz,0,True
1368,1734,"Unpickle CudaNdarray as numpy.ndarray, if cuda is not enabled.",herr-biber,"This allows for unpickling cuda ndarrays on machines without cuda.
",,,,2014-02-15 02:11:57,2014-02-21 16:29:35,theano/sandbox/cuda/type.py theano/configparser.py theano/sandbox/cuda/tests/test_type.py theano/sandbox/cuda/tests/CudaNdarray.pkl theano/configdefaults.py theano/sandbox/cuda/tests/test_var.py,99295012bafccf637b6ad846c9f8719f4ebca1d1 3c349c5cc4a53228298396a8e34d92948af6b4ec 7d2d9fd7260f33bb53c61c68bc0a6e7092b73316 8f2ecc01281b0b0a375dabe97d75f86da550031c 0c9e4255000c0d5111182e54dd384a8538055e6f 388628a956d97dd36020918f558a8dfdbbb3a67a c64a610e5cfacb5b2ce31568a487ded687bf0445 cb566da69ab49cf3c273b3905f004357daa40a41 3652d765f3fb97d770f948056af171c410caf350,"abergeron mentioned 2014-02-17 18:02:14,abergeron subscribed 2014-02-17 18:02:14,abergeron referenced 2014-02-21 16:29:35,abergeron merged 2014-02-21 16:29:35,abergeron closed 2014-02-21 16:29:35,herr-biber head_ref_deleted 2014-02-21 18:50:38",abergeron herr-biber nouiz,9,True
1369,1735,Fix Variable.eval() (issue #1724 on github),rizar,"It is now possible to call Variable.eval() with different sets of input
parameters.
",,,,2014-02-16 16:58:50,2014-02-24 15:06:39,theano/gof/graph.py theano/gof/tests/test_graph.py,19bc8600819eb0827ebe51c1a19f56ae321f7cd8 ddd11bd4052e2d257ddc6d5e4f70663a8d4c4640,"nouiz referenced 2014-02-24 15:06:39,nouiz merged 2014-02-24 15:06:39,nouiz closed 2014-02-24 15:06:39",nouiz rizar,1,True
1370,1736,[MRG]Better error message when a thunk fail: print user code line when node was created,nouiz,"Ready to merge I think
",,,,2014-02-17 19:11:53,2014-02-18 17:41:26,theano/configdefaults.py theano/gof/link.py theano/gof/utils.py,57a5f54cdccd5d8537b05ea60323cbdb921b1a95 9671ab341da6dc1a837c02e54b79e3c8ef1ea911 4f2a8bab40382b81f66e10128b48e0bcc15bb612 bb611ee230cfd0968d7ea4430ffdf048402d90d7 af9978ed49c5a5441ff6b3370cf458b649955605 f9ca75c6c3c0262008b5939802e81aedc01aa529,"abergeron referenced 2014-02-18 17:41:26,abergeron merged 2014-02-18 17:41:26,abergeron closed 2014-02-18 17:41:26,nouiz head_ref_deleted 2014-02-18 17:43:42",abergeron nouiz,2,True
1371,1737,Fixed memory leaks in cumsum and cumprod.,MarcCote,"When calling PyArray_CumSum/PyArray_CumProd of the Numpy's C-API with an out parameter, it will create and return a new reference on the result array. To avoid memory leak, Py_XDECREF should be used after calling those functions.

Initially, I thought it was a bug, but it seems not: http://github.com/numpy/numpy/issues/4312

NEWS.txt:
- cumsum wasn't released yet, but MarcCote participated to it.
",,,,2014-02-17 21:05:23,2014-02-17 22:16:42,theano/tensor/extra_ops.py,b46ab94d4bca098c6486c1eab3dc683ed97d0b56,"nouiz referenced 2014-02-17 22:16:42,nouiz merged 2014-02-17 22:16:42,nouiz closed 2014-02-17 22:16:42,MarcCote head_ref_deleted 2014-02-18 23:06:24",nouiz MarcCote,1,True
1372,1739,Small modif to allow the buildbot script to easily submit new results wi...,nouiz,"...thout modifing Theano repo
",,,,2014-02-19 19:43:08,2014-02-19 19:43:13,theano/misc/do_nightly_build_send,fd963a2374d38261a29bcc3a0888b6c54553c871,"nouiz referenced 2014-02-19 19:43:13,nouiz merged 2014-02-19 19:43:13,nouiz closed 2014-02-19 19:43:13,nouiz head_ref_deleted 2014-02-19 19:43:23",nouiz,1,True
1373,1740,Add assert about the shape in the graph.,nouiz,"Theano remove shapes errors at many places where 0s and 1s are involved. This PR remove such a case by puting an Assert op in the graph. So it replace an ValueError by an AssertionError instead of removing it.

I think we should do it in this case, as we replace a dot by an assert. But I'm not sure this is a general solution for all such cases. What do you think?

reported in gh-1738 by Marc-Alexandre Côté.
",,,,2014-02-19 20:43:26,2014-02-20 17:01:31,theano/tensor/opt.py theano/tensor/tests/test_opt.py,9ca8c709acd217ffc41ca82ecfd0a6d973e008c1 32b363a2ff0dd973c62b1dbf4bd5018e898f0cc3 e0bf7f14ae015c6ca94fbed567fd529a46f80801,"abergeron referenced 2014-02-20 17:01:31,abergeron merged 2014-02-20 17:01:31,abergeron closed 2014-02-20 17:01:31,nouiz head_ref_deleted 2014-02-27 14:18:53",abergeron nouiz,3,True
1374,1741,Fix recompilation of Ops in other repo then Theano,nouiz,"Also lower the number of file system cache.
",,,,2014-02-20 02:08:11,2014-02-20 17:03:04,theano/gof/cmodule.py theano/compile/function_module.py,19976b0c1509fe34b5882195137ffb89786c3f5e bd862ae922da0795026af3fb766de98654750aab f558219106cda30c73de8d3ee0aa63ba8d1dae42,"abergeron referenced 2014-02-20 17:03:04,abergeron merged 2014-02-20 17:03:04,abergeron closed 2014-02-20 17:03:04,nouiz head_ref_deleted 2014-02-20 17:30:14",abergeron nouiz,1,True
1375,1743,Fix repeat op tests on windows.,nouiz,"reported by Eric Sum 
",,,,2014-02-21 15:57:26,2014-02-21 15:58:27,theano/tensor/tests/test_extra_ops.py,023798f77d76aefb51db244f61be08eb56363952,"nouiz referenced 2014-02-21 15:58:27,nouiz merged 2014-02-21 15:58:27,nouiz closed 2014-02-21 15:58:27,nouiz head_ref_deleted 2014-02-21 16:00:22",nouiz,1,True
1376,1746,Canopy,nouiz,"Fix linking to MKL in Canopy when their is multiple version of canopy. Reported by Yen-Lin Chen in gh-1720
",,,,2014-02-21 18:40:38,2014-02-21 18:41:08,theano/tensor/blas.py,e2368a4267723d0fd43f21412440a60f96db2f4c 2dc313193273a5829ebef85ea47500c879002d83,"nouiz referenced 2014-02-21 18:41:08,nouiz merged 2014-02-21 18:41:08,nouiz closed 2014-02-21 18:41:08,nouiz head_ref_deleted 2014-02-21 18:41:10",nouiz,1,True
1377,1747,[MRG]Doc,nouiz,"Mostly all doc, but also remove TrueDot comparison of grad_preserve_dense attribute.
",,,,2014-02-21 19:31:26,2014-02-24 21:29:13,theano/scalar/basic.py theano/misc/check_blas.py theano/tensor/raw_random.py doc/tutorial/multi_cores.txt theano/sandbox/rng_mrg.py theano/tensor/nnet/conv3d2d.py doc/library/sandbox/index.txt doc/library/sandbox/rng_mrg.txt doc/library/tensor/raw_random.txt theano/sandbox/cuda/tests/test_type.py doc/library/sparse/index.txt theano/tensor/nnet/Conv3D.py theano/sparse/basic.py doc/tutorial/examples.txt,0b4c54632b1acc9643862aeed0c62c340bad9a18 829668f9ec555f8684032969e73ea50a0733da73 e2ab154aa38b205675ebcbada4d6c0d66d195127 1f60632265442608eba71cea490f01232ff1ab07 2147e61bdfb171d6d64bdc4bab65bbd0d22b14f9 d96ff13609b7afd496bbdd5ebf8276beefb53208 e6258701633d2cd43d78a39b8eeb345f6fc2ec6d ff31782c1649b3e46760d4cb555ceef501384944 5c5a16e06e8aa75471f616e311ef1bdccd04fe62 748f7ca59ec10ba048e5d3e6ab1efb675d1b4635 67b2e13d0bb0fc629e5cc326fc900dd0be12fefa 42049ba4de756007e0a4e0327190a1078b4ba222 9e09774dffbe3d25d0fec7d9d8c3bbd499c14ff5 cd602735380cf583a08af66fed1cde35037d5494 ecfbdfd4f5d4d0c611473d38cfd13eccdc3cd8d8 9c7fdaeecf5426cfd47d4346c3c88373e28999dc 4086f394b1d93dc82abdf8b1fae60c3dd0d83ecb 911dbda91be92ca124d791300ca4baa667568d8d 7eeca383ef7f14fa4345e9e9dd36838d7d130460 26abcc7c12a5880aba817675ad9d7c56df41b491 7a61ed9fd8bd329d90a19afc7499a9b679593ecb,"abergeron referenced 2014-02-24 21:29:13,abergeron merged 2014-02-24 21:29:13,abergeron closed 2014-02-24 21:29:13,nouiz head_ref_deleted 2014-02-24 21:33:39",abergeron nouiz,10,True
1378,1748,Added usecases for scan tutorial,laurent-dinh,,,,,2014-02-22 23:22:27,2014-04-08 13:51:05,theano/gof/graph.py theano/gof/compilelock.py theano/tensor/type.py theano/tensor/nnet/conv3d2d.py theano/tensor/nnet/nnet.py theano/compile/builders.py doc/tutorial/loop.txt theano/sandbox/gpuarray/tests/test_elemwise.py theano/tensor/nnet/Conv3D.py theano/sparse/basic.py theano/sandbox/gpuarray/tests/test_subtensor.py theano/misc/check_blas.py doc/install.txt theano/__init__.py theano/tests/test_gradient.py theano/sandbox/cuda/opt.py theano/gof/cmodule.py theano/tests/test_tutorial.py theano/sandbox/cuda/tests/test_basic_ops.py theano/sandbox/cuda/tests/test_conv_cuda_ndarray.py theano/tensor/extra_ops.py theano/sandbox/gpuarray/elemwise.py theano/gof/__init__.py theano/sandbox/cuda/tests/CudaNdarray_py3.pkl theano/sandbox/gpuarray/blas.py theano/scalar/basic.py theano/sandbox/cuda/conv.cu theano/sandbox/gpuarray/opt.py doc/tutorial/multi_cores.txt theano/scan_module/scan_opt.py theano/tensor/basic.py theano/sandbox/cuda/basic_ops.py theano/sandbox/cuda/tests/test_type.py theano/tensor/blas.py doc/library/sparse/index.txt theano/sandbox/cuda/blas.py theano/gof/optdb.py theano/gradient.py theano/sandbox/cuda/tests/test_opt.py doc/tutorial/examples.txt theano/gof/tests/test_graph.py doc/library/tensor/basic.txt theano/sandbox/rng_mrg.py theano/tensor/raw_random.py theano/tensor/opt.py doc/library/sandbox/index.txt doc/library/sandbox/rng_mrg.txt theano/tensor/subtensor.py doc/library/tensor/raw_random.txt theano/tensor/__init__.py theano/tensor/var.py theano/tensor/tests/test_basic.py theano/gof/opt.py theano/tensor/tests/test_extra_ops.py,ff371509b3eae49850a936bf3039e3bb130b4a5e 9ad99d0fecc1a8561b6a2fae3459927a08400ce3 45168e5b99ba6eea9ab363a5fac69c60a1c6b711 b8e4bc5c9a3cfaf3b5cfdb9833fccdf08c0aa461 c8f2711a226afea58ac3584d10a19d7205c5741a 55b1c37713e1e8d7a62f8c70728af578624ce433 d0cbf05e0c66334134daa0183ac9ab72f633ecd5 d560a2fafcfbe4612bda5e3ac322d827ca8dcca8,"abergeron mentioned 2014-03-14 16:57:44,abergeron subscribed 2014-03-14 16:57:44,nouiz mentioned 2014-04-02 13:38:20,nouiz subscribed 2014-04-02 13:38:20,laurent-dinh mentioned 2014-04-02 13:38:20,laurent-dinh subscribed 2014-04-02 13:38:20,nouiz referenced 2014-04-08 13:51:05,nouiz merged 2014-04-08 13:51:05,nouiz closed 2014-04-08 13:51:05",pascanur abergeron nouiz laurent-dinh,10,True
1379,1751,Fix advanced incsubtensor when inc dim has non-flat shape.,abergeron,"This was reported by Alex Boulanger.
",,,,2014-02-24 20:45:29,2016-03-22 18:44:48,theano/tensor/tests/test_subtensor.py theano/tensor/subtensor.py,a8e95bb94480fb0de735a060da14a3affe80d8d5 5784db951697f2363dda50af8ce9c59f2efb1ef4,abergeron closed 2016-03-22 18:44:48,abergeron,1,False
