,Issue#,Title,Owner,Description,Labels,Assignees,Opened time,Closed time,Events,Participants,Number of Comments
891,1180,Make `CheckAndRaise.c_code` work with `ScalarType`s,brandonwillard,"`CheckAndRaise.c_code` doesn't support `ScalarType` inputs, which results in the use of the slower `CheckAndRaise.perform`.

For example:
```python
import aesara
from aesara.raise_op import Assert
from aesara.compile.mode import Mode

from aesara.scalar.basic import float64


a = float64()
z = Assert()(a, a > 0)

aesara.dprint(z, print_type=True)
# Assert{msg=Aesara Assert failed!} [id A] <float64>
#  |<float64> [id B] <float64>
#  |TensorFromScalar [id C] <TensorType(bool, ())>
#    |GT [id D] <bool>
#      |<float64> [id B] <float64>
#      |ScalarConstant{0} [id E] <int8>

z_fn = aesara.function([a], z, mode=Mode(linker=""c""), profile=True)
# NotImplementedError: CheckAndRaise c_code not implemented for input type float64
```

N.B. `DeepCopyOp` also isn't implemented for `ScalarType`s, so that graph will not compile with `linker=""c""`; however, it will with `linker=""cvm""` after `CheckAndRaise.c_code` is fixed.",C-backend performance concern,,2022-09-13 22:52:14,2022-09-16 16:47:35,"brandonwillard labeled 2022-09-13 22:52:14,brandonwillard labeled 2022-09-13 22:52:14,brandonwillard closed 2022-09-16 16:47:36",ricardoV94 brandonwillard,2
893,1182,`c_code` directories missing from `package_data`,eganster,"It seems like some `c_code` directories (namely `aesara/scalar/c_code`, `aesara/scan/c_code` and `aesara/tensor/c_code`) are missing when installing version 2.8.3:

Minimum example:
```python
import aesara.tensor
import numpy as np

aesara.tensor.gt(np.linspace(0, 1, 10), 0.5)
```

Traceback:
```python
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/home/USER/virtualenvs/test/lib/python3.10/site-packages/aesara/graph/op.py"", line 297, in __call__
    node = self.make_node(*inputs, **kwargs)
  File ""/home/USER/virtualenvs/test/lib/python3.10/site-packages/aesara/tensor/elemwise.py"", line 481, in make_node
    out_dtypes, out_shapes, inputs = self.get_output_info(DimShuffle, *inputs)
  File ""/home/USER/virtualenvs/test/lib/python3.10/site-packages/aesara/tensor/elemwise.py"", line 408, in get_output_info
    dim_shuffle(
  File ""/home/USER/virtualenvs/test/lib/python3.10/site-packages/aesara/tensor/elemwise.py"", line 130, in __init__
    super().__init__([self.c_func_file], self.c_func_name)
  File ""/home/USER/virtualenvs/test/lib/python3.10/site-packages/aesara/link/c/op.py"", line 334, in __init__
    self.load_c_code(self.func_files)
  File ""/home/USER/virtualenvs/test/lib/python3.10/site-packages/aesara/link/c/op.py"", line 355, in load_c_code
    with open(func_file) as f:
FileNotFoundError: [Errno 2] No such file or directory: '/home/USER/virtualenvs/test/lib/python3.10/site-packages/aesara/tensor/c_code/dimshuffle.c'
```

I think this bug was introduced in #1135: The ""old""
```python
        package_data={
            """": [
                ""*.txt"",
                ...
            ],
```

should be
```python
[options.package_data]
* =
    *.txt
     ....
```
as otherwise only the `aesara` directory is searched for the listed files/directories, but not any subdirectories such that  `aesara/scalar/c_code`, `aesara/scan/c_code` and `aesara/tensor/c_code` are not picked up (see also the [setuptools docu on package_data](https://setuptools.pypa.io/en/latest/userguide/datafiles.html#package-data)).

## Versions and main components

* Aesara version: 2.8.3
* Aesara config: Fresh install, no user specific settings
* Python version: 3.10
* Operating system: Linux
* How did you install Aesara: pip
",bug important,,2022-09-14 15:47:31,2022-09-14 19:56:04,"brandonwillard labeled 2022-09-14 18:24:22,brandonwillard labeled 2022-09-14 18:24:22,brandonwillard renamed 2022-09-14 18:28:24,brandonwillard closed 2022-09-14 19:56:05",maresb eganster brandonwillard,2
902,1195,Bug in `JITLinker` when first output of inner `FunctionGraph` is an input variable,ricardoV94,"An error is raised when a function with `mode in (""NUMBA"", ""JAX"")` returns a `SharedVariable` that has updates.

```python
import aesara
import aesara.tensor as at

x = aesara.shared(0, name=""x"")
f = aesara.function([], [x], updates={x: x+1}, mode=""NUMBA"")
```

```python
File ~/miniconda3/envs/aesara/lib/python3.10/site-packages/aesara/compile/function/__init__.py:317, in function(inputs, outputs, mode, updates, givens, no_default_updates, accept_inplace, name, rebuild_strict, allow_input_downcast, profile, on_unused_input)
    311     fn = orig_function(
    312         inputs, outputs, mode=mode, accept_inplace=accept_inplace, name=name
    313     )
    314 else:
    315     # note: pfunc will also call orig_function -- orig_function is
    316     #      a choke point that all compilation must pass through
--> 317     fn = pfunc(
    318         params=inputs,
    319         outputs=outputs,
    320         mode=mode,
    321         updates=updates,
    322         givens=givens,
    323         no_default_updates=no_default_updates,
    324         accept_inplace=accept_inplace,
    325         name=name,
    326         rebuild_strict=rebuild_strict,
    327         allow_input_downcast=allow_input_downcast,
    328         on_unused_input=on_unused_input,
    329         profile=profile,
    330         output_keys=output_keys,
    331     )
    332 return fn

File ~/miniconda3/envs/aesara/lib/python3.10/site-packages/aesara/compile/function/pfunc.py:363, in pfunc(params, outputs, mode, updates, givens, no_default_updates, accept_inplace, name, rebuild_strict, allow_input_downcast, profile, on_unused_input, output_keys)
    350     profile = ProfileStats(message=profile)
    352 inputs, cloned_outputs = construct_pfunc_ins_and_outs(
    353     params,
    354     outputs,
   (...)
    360     allow_input_downcast,
    361 )
--> 363 return orig_function(
    364     inputs,
    365     cloned_outputs,
    366     mode,
    367     accept_inplace=accept_inplace,
    368     name=name,
    369     profile=profile,
    370     on_unused_input=on_unused_input,
    371     output_keys=output_keys,
    372 )

File ~/miniconda3/envs/aesara/lib/python3.10/site-packages/aesara/compile/function/types.py:1738, in orig_function(inputs, outputs, mode, accept_inplace, name, profile, on_unused_input, output_keys)
   1727     m = Maker(
   1728         inputs,
   1729         outputs,
   (...)
   1735         name=name,
   1736     )
   1737     with config.change_flags(compute_test_value=""off""):
-> 1738         fn = m.create(defaults)
   1739 finally:
   1740     t2 = time.time()

File ~/miniconda3/envs/aesara/lib/python3.10/site-packages/aesara/compile/function/types.py:1633, in FunctionMaker.create(self, input_storage, trustme, storage_map)
   1630 start_import_time = aesara.link.c.cmodule.import_time
   1632 with config.change_flags(traceback__limit=config.traceback__compile_limit):
-> 1633     _fn, _i, _o = self.linker.make_thunk(
   1634         input_storage=input_storage_lists, storage_map=storage_map
   1635     )
   1637 end_linker = time.time()
   1639 linker_time = end_linker - start_linker

File ~/miniconda3/envs/aesara/lib/python3.10/site-packages/aesara/link/basic.py:254, in LocalLinker.make_thunk(self, input_storage, output_storage, storage_map, **kwargs)
    247 def make_thunk(
    248     self,
    249     input_storage: Optional[""InputStorageType""] = None,
   (...)
    252     **kwargs,
    253 ) -> Tuple[""BasicThunkType"", ""InputStorageType"", ""OutputStorageType""]:
--> 254     return self.make_all(
    255         input_storage=input_storage,
    256         output_storage=output_storage,
    257         storage_map=storage_map,
    258     )[:3]

File ~/miniconda3/envs/aesara/lib/python3.10/site-packages/aesara/link/basic.py:702, in JITLinker.make_all(self, input_storage, output_storage, storage_map)
    696     compute_map[k] = [k.owner is None]
    698 thunks, nodes, jit_fn = self.create_jitable_thunk(
    699     compute_map, nodes, input_storage, output_storage, storage_map
    700 )
--> 702 computed, last_user = gc_helper(nodes)
    704 if self.allow_gc:
    705     post_thunk_old_storage = []

File ~/miniconda3/envs/aesara/lib/python3.10/site-packages/aesara/link/utils.py:263, in gc_helper(node_list)
    261 computed = set()
    262 for node in node_list:
--> 263     for input in node.inputs:
    264         last_user[input] = node
    265     for output in node.outputs:

AttributeError: 'NoneType' object has no attribute 'inputs'
```",bug JAX backend compatibility Numba,,2022-09-20 08:20:35,2022-09-23 04:28:30,"ricardoV94 labeled 2022-09-20 08:20:35,ricardoV94 labeled 2022-09-20 08:20:35,ricardoV94 labeled 2022-09-20 08:20:35,ricardoV94 labeled 2022-09-20 08:20:35,ricardoV94 renamed 2022-09-20 08:21:06,brandonwillard closed 2022-09-21 21:52:10,brandonwillard labeled 2022-09-21 21:52:19,ricardoV94 reopened 2022-09-22 05:55:38,ricardoV94 unlabeled 2022-09-22 07:03:35,ricardoV94 renamed 2022-09-22 09:45:29,brandonwillard closed 2022-09-23 04:28:31",ricardoV94 brandonwillard,3
903,1196,Numba backend ignores state of `RandomStateSharedVariable`,ricardoV94,"I am not sure if this was a conscious decision or just a limitation

```python
import numpy as np
import aesara
import aesara.tensor as at

rng = aesara.shared(np.random.RandomState(123), name=""rng"")
x = at.random.normal(rng=rng)
f = aesara.function([], x, mode=""NUMBA"")
assert f() == f()  # AssertionError
```

It also ignores manually defined updates. Here is a contrived example:
```python
import numpy as np
import aesara
import aesara.tensor as at

rng = aesara.shared(np.random.RandomState(123), name=""rng"")
next_rng = aesara.shared(np.random.RandomState(123), name=""next_rng"")
x = at.random.normal(rng=rng)
f = aesara.function([], x, updates={rng: next_rng}, mode=""NUMBA"")
assert f() == f()  # AssertionError
```
",duplicate question backend compatibility Numba random variables,,2022-09-20 08:35:47,2022-09-21 21:29:27,"ricardoV94 labeled 2022-09-20 08:36:32,ricardoV94 labeled 2022-09-20 08:36:34,ricardoV94 labeled 2022-09-20 08:36:37,ricardoV94 labeled 2022-09-20 08:36:42,ricardoV94 renamed 2022-09-20 08:58:01,ricardoV94 renamed 2022-09-20 08:58:24,brandonwillard closed 2022-09-21 21:29:27,brandonwillard closed 2022-09-21 21:45:13,brandonwillard labeled 2022-09-21 21:45:24",ricardoV94 brandonwillard,3
906,1200,Gradient failing due to wrong output type of `Split`,ricardoV94,"I couldn't quite figure out the source of the problem yet:

```python
import aesara.tensor as at

value = at.vector()
bvalue = at.concatenate([value, at.sum(value)[None]], axis=-1)
logp = bvalue + [1, 2, 3]
at.grad(logp.sum(), wrt=value)
```

```python
Traceback (most recent call last):
  File ""/home/ricardo/Documents/Projects/aesara/venv/lib/python3.8/site-packages/IPython/core/interactiveshell.py"", line 3441, in run_code
    exec(code_obj, self.user_global_ns, self.user_ns)
  File ""<ipython-input-11-9aab63d9fe6b>"", line 5, in <module>
    at.grad(logp.sum(), wrt=value)
  File ""/home/ricardo/Documents/Projects/aesara/aesara/gradient.py"", line 623, in grad
    _rval: Sequence[Variable] = _populate_grad_dict(
  File ""/home/ricardo/Documents/Projects/aesara/aesara/gradient.py"", line 1434, in _populate_grad_dict
    rval = [access_grad_cache(elem) for elem in wrt]
  File ""/home/ricardo/Documents/Projects/aesara/aesara/gradient.py"", line 1434, in <listcomp>
    rval = [access_grad_cache(elem) for elem in wrt]
  File ""/home/ricardo/Documents/Projects/aesara/aesara/gradient.py"", line 1387, in access_grad_cache
    term = access_term_cache(node)[idx]
  File ""/home/ricardo/Documents/Projects/aesara/aesara/gradient.py"", line 1058, in access_term_cache
    output_grads = [access_grad_cache(var) for var in node.outputs]
  File ""/home/ricardo/Documents/Projects/aesara/aesara/gradient.py"", line 1058, in <listcomp>
    output_grads = [access_grad_cache(var) for var in node.outputs]
  File ""/home/ricardo/Documents/Projects/aesara/aesara/gradient.py"", line 1387, in access_grad_cache
    term = access_term_cache(node)[idx]
  File ""/home/ricardo/Documents/Projects/aesara/aesara/gradient.py"", line 1213, in access_term_cache
    input_grads = node.op.L_op(inputs, node.outputs, new_output_grads)
  File ""/home/ricardo/Documents/Projects/aesara/aesara/graph/op.py"", line 392, in L_op
    return self.grad(inputs, output_grads)
  File ""/home/ricardo/Documents/Projects/aesara/aesara/tensor/elemwise.py"", line 272, in grad
    DimShuffle(gz.type.broadcastable, grad_order)(
  File ""/home/ricardo/Documents/Projects/aesara/aesara/tensor/elemwise.py"", line 165, in __init__
    raise ValueError(
ValueError: Cannot drop a non-broadcastable dimension: (False,), []
```",bug,,2022-09-20 15:46:12,2022-09-20 21:12:49,"ricardoV94 labeled 2022-09-20 15:54:21,ricardoV94 labeled 2022-09-20 15:54:25,ricardoV94 renamed 2022-09-20 16:25:16,ricardoV94 unlabeled 2022-09-20 20:09:29,brandonwillard closed 2022-09-20 21:12:49",ricardoV94 brandonwillard,1
910,1206,Mypy apparently not ignoring hidden files in CI?,brandonwillard,It looks like Mypy is failing during `pre-commit` on `main` (see [here](https://github.com/aesara-devs/aesara/actions/runs/3110384162/jobs/5041583792#step:4:86)) because it's checking a hidden cache file now (i.e. `/home/runner/.cache/pre-commit/repog49g9cxw/py_env-python3.10/lib/python3.10/site-packages/numpy/__init__.pyi`).,bug help wanted important CI,,2022-09-23 05:22:26,2022-09-23 23:57:32,"brandonwillard labeled 2022-09-23 05:22:26,brandonwillard labeled 2022-09-23 05:22:26,brandonwillard labeled 2022-09-23 05:22:26,brandonwillard labeled 2022-09-23 05:22:26,brandonwillard closed 2022-09-23 20:55:48,brandonwillard reopened 2022-09-23 22:04:28,brandonwillard closed 2022-09-23 23:57:32",brandonwillard,1
916,1216,`ScanMerge` renames variables,ricardoV94,"First reported in https://github.com/pymc-devs/pymc/issues/6148

```python
import aesara
import aesara.tensor as at

delta = at.scalar(""delta"")

def step(prev, d):
    return prev + d

m1 = at.scalar(""m1"")
res, _ = aesara.scan(step, outputs_info=[m1], n_steps=3, non_sequences=[delta])
m2 = res[-1]
res, _ = aesara.scan(step, outputs_info=[m2], n_steps=3, non_sequences=[delta])
m3 = res[-1]

grad_m2 = aesara.grad(m2, wrt=delta)
grad_m3 = aesara.grad(m3, wrt=delta)

print(delta.name)  # delta
f = aesara.function([m1, delta], (grad_m2, grad_m3))
print(delta.name)  # delta1
```",graph rewriting Scan unexpected behavior,,2022-09-27 17:17:15,2022-09-29 22:00:28,"ricardoV94 renamed 2022-09-27 17:17:26,ricardoV94 labeled 2022-09-27 19:45:36,ricardoV94 labeled 2022-09-27 19:45:36,ricardoV94 labeled 2022-09-27 19:45:36,brandonwillard unlabeled 2022-09-28 20:38:40,brandonwillard labeled 2022-09-28 20:40:55,brandonwillard unlabeled 2022-09-28 20:47:12,brandonwillard renamed 2022-09-28 20:49:09,brandonwillard labeled 2022-09-28 21:08:06,brandonwillard closed 2022-09-29 22:00:29",ricardoV94 brandonwillard,2
919,1220,Broken `GEMM` C implementation when using NumPy >= 1.23,brandonwillard,"It looks like https://github.com/numpy/numpy/pull/21477 (i.e. NumPy >= 1.23) is causing issues in the C implementation of `GEMM`.  

Here's some example test output illustrating the difference:
```python
# Using NumPy 1.23.3
tests/tensor/test_blas.py::TestGemm::test_shape_0
x.shape=(0, 5), x.strides=(0, 0)
y.shape=(5, 4), y.strides=(16, 4)
z.shape=(0, 4), z.strides=(0, 0)
...
```
```python
# Using NumPy 1.22.3
tests/tensor/test_blas.py::TestGemm::test_shape_0
x.shape=(0, 5), x.strides=(20, 4)
y.shape=(5, 4), y.strides=(16, 4)
z.shape=(0, 4), z.strides=(16, 4)
```",bug help wanted important C-backend NumPy compatibility,,2022-09-28 23:27:04,2022-09-29 19:11:51,"brandonwillard labeled 2022-09-28 23:27:04,brandonwillard labeled 2022-09-28 23:27:04,brandonwillard labeled 2022-09-28 23:27:04,brandonwillard labeled 2022-09-28 23:27:04,brandonwillard labeled 2022-09-28 23:27:04,brandonwillard referenced 2022-09-29 04:42:00,brandonwillard connected 2022-09-29 04:44:09,brandonwillard closed 2022-09-29 19:11:51,brandonwillard referenced 2022-09-29 19:11:51",brandonwillard,0
920,1221,Mypy cannot determine type of `op_debug_information`,brandonwillard,"MyPy run by `pre-commit` will occasionally err with the following:
```
aesara/scan/op.py:3443: error: Cannot determine type of ""op_debug_information""  [has-type]
Found 1 error in 1 file (checked 1 source file)
```

This issue appears to be due to differences in command-line module ordering (see https://github.com/pre-commit/pre-commit/issues/1580#issuecomment-679413936, https://github.com/pypa/pip/issues/9502#issue-792721417, and https://github.com/python/mypy/issues/9954).

Let's see if we can remove this ordering disparity, because it's awfully annoying.",testing important CI typing,,2022-09-29 17:46:39,2022-12-09 03:52:11,"brandonwillard labeled 2022-09-29 17:46:39,brandonwillard labeled 2022-09-29 17:46:39,brandonwillard labeled 2022-09-29 17:46:39,brandonwillard labeled 2022-09-29 17:46:39,markusschmaus mentioned 2022-09-29 17:49:14,markusschmaus subscribed 2022-09-29 17:49:14,LegrandNico mentioned 2022-09-29 17:49:14,LegrandNico subscribed 2022-09-29 17:49:14,brandonwillard renamed 2022-10-05 16:38:05,brandonwillard closed 2022-12-09 03:52:11",rlouf markusschmaus LegrandNico brandonwillard ricardoV94,5
921,1223,Add `at.convolve` Op,rlouf,Which would be the equivalent of `np.convolve`: https://numpy.org/doc/stable/reference/generated/numpy.convolve.html,enhancement good first issue help wanted NumPy compatibility Op implementation,,2022-09-30 14:16:40,2023-04-23 19:30:30,"rlouf labeled 2022-09-30 14:17:21,rlouf labeled 2022-09-30 14:17:22,rlouf labeled 2022-09-30 14:17:22,rlouf labeled 2022-09-30 14:17:22,rlouf labeled 2022-09-30 14:17:22,brandonwillard closed 2023-04-23 19:30:31",rlouf brandonwillard,0
923,1228,Failure to link with MLK_RT under Windows,maresb,"## Description of your problem or feature request

There is a [report on Discourse](https://discourse.pymc.io/t/failure-to-link-with-mkl-rt-under-windows/10502) about an issue from a Windows user regarding a linking problem. @lucianopaz believes the issue is related to #947:

> [@opherdonchin](https://discourse.pymc.io/u/opherdonchin) , if it’s anything like the issue that I mentioned, you won’t be able to fix it using ldflags. Those will get a -l prepend and won’t link properly. The [PR](https://github.com/aesara-devs/aesara/pull/947) where I had fixed the old issue did some things to link to the full path of the dynamic link library, but it had to do so in aesara itself. I think that you’ll have to open an issue in aesara to get this fixed. I can help out with this after Monday

## Versions and main components

* Aesara version: 2.8.2
* Aesara config (`python -c ""import aesara; print(aesara.config)""`)
* Python version: 3.10.6
* Operating system: Windows 10
* How did you install Aesara: mamba
",C-backend MWE needed Windows,,2022-10-01 16:08:22,2022-10-05 15:53:43,"lucianopaz mentioned 2022-10-01 16:08:22,lucianopaz subscribed 2022-10-01 16:08:23,maresb mentioned 2022-10-01 17:37:58,maresb subscribed 2022-10-01 17:37:58,brandonwillard labeled 2022-10-01 18:18:27,brandonwillard labeled 2022-10-01 18:18:27,brandonwillard labeled 2022-10-01 18:18:27,brandonwillard mentioned 2022-10-01 18:25:42,brandonwillard subscribed 2022-10-01 18:25:42,opherdonchin mentioned 2022-10-01 18:25:42,opherdonchin subscribed 2022-10-01 18:25:42,brandonwillard mentioned 2022-10-01 18:55:10,brandonwillard subscribed 2022-10-01 18:55:10,opherdonchin mentioned 2022-10-01 18:55:10,opherdonchin subscribed 2022-10-01 18:55:10,brandonwillard mentioned 2022-10-01 21:08:06,brandonwillard subscribed 2022-10-01 21:08:06,maresb mentioned 2022-10-01 21:08:06,maresb subscribed 2022-10-01 21:08:06,lucianopaz mentioned 2022-10-05 06:57:01,lucianopaz subscribed 2022-10-05 06:57:01,opherdonchin mentioned 2022-10-05 07:57:04,opherdonchin subscribed 2022-10-05 07:57:04,lucianopaz mentioned 2022-10-05 14:26:44,lucianopaz subscribed 2022-10-05 14:26:44,brandonwillard mentioned 2022-10-05 14:47:56,brandonwillard subscribed 2022-10-05 14:47:56,aesara-devs locked 2022-10-05 15:53:43,brandonwillard converted_to_discussion 2022-10-05 15:53:43",lucianopaz aesara-devs brandonwillard maresb opherdonchin,9
